"reg","dis","con","ccm_leg10","split_leg10"
"ARUSHA","JIJI LA ARUSHA","ARUSHA  MJINI",1,6.59999999999999
"ARUSHA","MANISPAA YA ARUMERU","ARUMERU MAGHARIBI",1,25.2
"ARUSHA","MANISPAA YA ARUMERU","ARUMERU MASHARIKI",1,63.2
"ARUSHA","WILAYA YA KARATU","KARATU",0,1.6
"ARUSHA","WILAYA YA MONDULI","LONGIDO",1,86.8
"ARUSHA","WILAYA YA MONDULI","MONDULI",1,91.9
"DAR-ES-SALAAM","MANISPAA YA ILALA","ILALA",1,54.9
"DAR-ES-SALAAM","MANISPAA YA ILALA","UKONGA",1,37.3
"DAR-ES-SALAAM","MANISPAA YA KINONDONI","KAWE",1,46.2
"DAR-ES-SALAAM","MANISPAA YA KINONDONI","KINONDONI",1,43
"DAR-ES-SALAAM","MANISPAA YA KINONDONI","UBUNGO",1,26.7
"DAR-ES-SALAAM","MANISPAA YA TEMEKE","KIGAMBONI",1,25.5
"DAR-ES-SALAAM","MANISPAA YA TEMEKE","TEMEKE",1,32.5
"DODOMA","MANISPAA YA DODOMA","DODOMA MJINI",1,73.9
"DODOMA","WILAYA YA DODOMA","BAHI",1,84.1
"DODOMA","WILAYA YA DODOMA","CHILONWA",1,90.6
"DODOMA","WILAYA YA DODOMA","MTERA",1,88.5
"DODOMA","WILAYA YA KONDOA","KONDOA KASKAZINI",1,23.1
"DODOMA","WILAYA YA KONDOA","KONDOA KUSINI",1,46.9
"DODOMA","WILAYA YA KONGWA","KONGWA",1,87
"DODOMA","WILAYA YA MPWAPWA","KIBAKWE",1,73.3
"DODOMA","WILAYA YA MPWAPWA","MPWAPWA",1,83.8
"IRINGA","MANISPAA YA IRINGA","IRINGA MJINI",1,49.6
"IRINGA","WILAYA YA IRINGA","ISMANI",1,78.5
"IRINGA","WILAYA YA IRINGA","KALENGA",1,40.2
"IRINGA","WILAYA YA KILOLO","KILOLO",1,82.8
"IRINGA","WILAYA YA LUDEWA","LUDEWA",1,91.4
"IRINGA","WILAYA YA MAKETE","MAKETE",1,91.6
"IRINGA","WILAYA YA MUFINDI","MUFINDI KASKAZINI",1,91.2
"IRINGA","WILAYA YA MUFINDI","MUFINDI KUSINI",1,65.9
"IRINGA","WILAYA YA NJOMBE","NJOMBE KASKAZINI",1,35.5
"IRINGA","WILAYA YA NJOMBE","NJOMBE KUSINI",1,67.7
"IRINGA","WILAYA YA NJOMBE","NJOMBE MAGHARIBI",1,94.7
"KAGERA","MANISPAA YA BUKOBA","BUKOBA MJINI",1,0.400000000000006
"KAGERA","WILAYA YA BIHARAMULO","BIHARAMULO MAGHARIBI",0,2.4
"KAGERA","WILAYA YA BIHARAMULO","BIHARAMULO MASHARIKI",1,100
"KAGERA","WILAYA YA BUKOBA","BUKOBA VIJIJINI",1,27.3
"KAGERA","WILAYA YA BUKOBA","NKENGE",0,100
"KAGERA","WILAYA YA KARAGWE","KARAGWE",1,36.8
"KAGERA","WILAYA YA KARAGWE","KYERWA",1,5.8
"KAGERA","WILAYA YA MULEBA","MULEBA KASKAZINI",1,6.5
"KAGERA","WILAYA YA MULEBA","MULEBA KUSINI",1,86.6
