REG.CODE,REG.NAME,DIS.CODE,DIS.NAME ,POLDIS.NAME
1,DODOMA,1,KONDOA,WILAYA YA KONDOA
1,DODOMA,2,MPWAPWA,WILAYA YA MPWAPWA
1,DODOMA,3,KONGWA,WILAYA YA KONGWA
1,DODOMA,4,DODOMA RURAL,WILAYA YA CHAMWINO
1,DODOMA,5,DODOMA URBAN,MANISPAA YA DODOMA
1,DODOMA,6,BAHI,WILAYA YA BAHI
2,ARUSHA,1,MONDULI,WILAYA YA MONDULI
2,ARUSHA,2,ARUMERU,WILAYA YA MERU
2,ARUSHA,3,ARUSHA,WILAYA YA ARUSHA
2,ARUSHA,4,KARATU,WILAYA YA KARATU
2,ARUSHA,5,NGORONGORO,WILAYA YA NGORONGORO
3,KILIMANJARO,1,ROMBO,WILAYA YA ROMBO
3,KILIMANJARO,2,MWANGA,WILAYA YA MWANGA
3,KILIMANJARO,3,SAME,WILAYA YA SAME
3,KILIMANJARO,4,MOSHI RURAL,WILAYA YA MOSHI
3,KILIMANJARO,5,HAI,WILAYA YA HAI
3,KILIMANJARO,6,MOSHI URBAN,MANISPAA YA MOSHI
4,TANGA,1,LUSHOTO,WILAYA YA LUSHOTO
4,TANGA,2,KOROGWE,WILAYA YA KOROGWE
4,TANGA,3,MUHEZA,WILAYA YA MUHEZA
4,TANGA,4,TANGA URBAN,JIJI LA TANGA
4,TANGA,5,PANGANI,WILAYA YA PANGANI
4,TANGA,6,HANDENI,WILAYA YA HANDENI
4,TANGA,7,KILINDI,WILAYA YA KILINDI
4,TANGA,8,MKINGA,WILAYA YA MKINGA
5,MOROGORO,1,KILOSA,WILAYA YA KILOSA
5,MOROGORO,2,MOROGORO RURAL,WILAYA YA MOROGORO
5,MOROGORO,3,KILOMBERO,WILAYA YA KILOMBERO
5,MOROGORO,4,ULANGA,WILAYA YA ULANGA
5,MOROGORO,5,MOROGORO URBAN,MANISPAA YA MOROGORO
5,MOROGORO,6,MVOMERO,WILAYA YA MVOMERO
6,PWANI,1,BAGAMOYO,WILAYA YA BAGAMOYO
6,PWANI,2,KIBAHA,WILAYA YA KIBAHA
6,PWANI,3,KISARAWE,WILAYA YA KISARAWE
6,PWANI,4,MKURANGA,WILAYA YA MKURANGA
6,PWANI,5,RUFIJI,WILAYA YA RUFIJI
6,PWANI,6,MAFIA,WILAYA YA MAFIA
7,DAR-ES-SALAAM,1,KINONDONI,MANISPAA YA KINONDONI
7,DAR-ES-SALAAM,2,ILALA,MANISPAA YA ILALA
7,DAR-ES-SALAAM,3,TEMEKE,MANISPAA YA TEMEKE
8,LINDI,1,KILWA,WILAYA YA KILWA
8,LINDI,2,LINDI RURAL,WILAYA YA LINDI
8,LINDI,3,NACHINGWEA,WILAYA YA NACHINGWEA
8,LINDI,4,LIWALE,WILAYA YA LIWALE
8,LINDI,5,RUANGWA,WILAYA YA RUANGWA
8,LINDI,6,LINDI URBAN,MJI WA LINDI
9,MTWARA,1,MTWARA RURAL,WILAYA YA MTWARA
9,MTWARA,2,NEWALA,WILAYA YA NEWALA
9,MTWARA,3,MASASI,WILAYA YA MASASI
9,MTWARA,4,TANDAHIMBA,WILAYA YA TANDAHIMBA
9,MTWARA,5,MTWARA MIKINDANI,MANISPAA YA MTWARA MIKINDANI
10,RUVUMA,1,TUNDURU,WILAYA YA TUNDURU
10,RUVUMA,2,SONGEA RURAL,WILAYA YA SONGEA
10,RUVUMA,3,MBINGA,WILAYA YA MBINGA
10,RUVUMA,4,SONGEA URBAN,MANISPAA YA SONGEA
10,RUVUMA,5,NAMTUMBO,WILAYA YA NAMTUMBO
11,IRINGA,1,IRINGA RURAL,WILAYA YA IRINGA
11,IRINGA,2,MUFINDI,WILAYA YA MUFINDI
11,IRINGA,3,MAKETE,WILAYA YA MAKETE
11,IRINGA,4,NJOMBE,WILAYA YA NJOMBE
11,IRINGA,5,LUDEWA,WILAYA YA LUDEWA
11,IRINGA,6,IRINGA URBAN,MANISPAA YA IRINGA
11,IRINGA,7,KILOLO,WILAYA YA KILOLO
12,MBEYA,1,CHUNYA,WILAYA YA CHUNYA
12,MBEYA,2,MBEYA RURAL,WILAYA YA MBEYA
12,MBEYA,3,KYELA,WILAYA YA KYELA
12,MBEYA,4,RUNGWE,WILAYA YA RUNGWE
12,MBEYA,5,ILEJE,WILAYA YA ILEJE
12,MBEYA,6,MBOZI,WILAYA YA MBOZI
12,MBEYA,7,MBALALI,WILAYA YA MBARALI
12,MBEYA,8,MBEYA URBAN,JIJI LA MBEYA
13,SINGIDA,1,IRAMBA,WILAYA YA IRAMBA
13,SINGIDA,2,SINGIDA RURAL,WILAYA YA SINGIDA
13,SINGIDA,3,MANYONI,WILAYA YA MANYONI
13,SINGIDA,4,SINGIDA URBAN,MANISPAA YA SINGIDA
14,TABORA,1,NZEGA,WILAYA YA NZEGA
14,TABORA,2,IGUNGA,WILAYA YA IGUNGA
14,TABORA,3,UYUI,WILAYA YA TABORA
14,TABORA,4,URAMBA,WILAYA YA URAMBO
14,TABORA,5,SIKONGE,WILAYA YA SIKONGE
14,TABORA,6,TABORA URBAN,MANISPAA YA TABORA
15,RUKWA,1,MPANDA,WILAYA YA MPANDA
15,RUKWA,2,SUMBAWANGA,WILAYA YA SUMBAWANGA
15,RUKWA,3,NKASI,WILAYA YA NKASI
15,RUKWA,4,SUMBAWANGA URBAN,MANISPAA YA SUMBAWANGA
16,KIGOMA,1,KIBONDO,WILAYA YA KIBONDO
16,KIGOMA,2,KASULU,WILAYA YA KASULU
16,KIGOMA,3,KIGOMA RURAL,WILAYA YA KIGOMA
16,KIGOMA,4,KIGOMA URBAN,MANISPAA YA KIGOMA/UJIJI
17,SHINYANGA,1,BARIADI,WILAYA YA BARIADI
17,SHINYANGA,2,MASWA,WILAYA YA MASWA
17,SHINYANGA,3,SHINYANGA RURAL,WILAYA YA SHINYANGA
17,SHINYANGA,4,KAHAMA,WILAYA YA KAHAMA
17,SHINYANGA,5,BUKOMBE,WILAYA YA BUKOMBE
17,SHINYANGA,6,MEATU,WILAYA YA MEATU
17,SHINYANGA,7,SHINYANGA URBAN,MANISPAA YA SHINYANGA
17,SHINYANGA,8,KISHAPU,WILAYA YA KISHAPU
18,KAGERA,1,KARAGWE,WILAYA YA KARAGWE
18,KAGERA,2,BUKOBA RURAL,WILAYA YA BUKOBA
18,KAGERA,3,MULEBA,WILAYA YA MULEBA
18,KAGERA,4,BIHARAMULO,WILAYA YA BIHARAMULO
18,KAGERA,5,NGARA,WILAYA YA NGARA
18,KAGERA,6,BUKOBA URBAN,MANISPAA YA BUKOBA
18,KAGERA,7,CHATO,WILAYA YA CHATO
18,KAGERA,8,MISENYE,WILAYA YA MISSENYI
19,MWANZA,1,UKEREWE,WILAYA YA UKEREWE
19,MWANZA,2,MAGU,WILAYA YA MAGU
19,MWANZA,3,NYAMAGANA,JIJI LA MWANZA
19,MWANZA,4,KWIMBA,WILAYA YA KWIMBA
19,MWANZA,5,SENGEREMA,WILAYA YA SENGEREMA
19,MWANZA,6,GEITA,WILAYA YA GEITA
19,MWANZA,7,MISUNGWI,WILAYA YA MISUNGWI
19,MWANZA,8,ILEMELA,JIJI LA MWANZA
20,MARA,1,TARIME,WILAYA YA TARIME
20,MARA,2,SENGEREMA,WILAYA YA SERENGETI
20,MARA,3,MUSOMA RURAL,WILAYA YA MUSOMA
20,MARA,4,BUNDA,WILAYA YA BUNDA
20,MARA,5,MUSOMA URBAN,MANISPAA YA MUSOMA
21,MANYARA,1,BABATI,WILAYA YA BABATI
21,MANYARA,2,HANANG,WILAYA YA HANANG
21,MANYARA,3,MBULU,WILAYA YA MBULU
21,MANYARA,4,SIMANJIRO,WILAYA YA SIMANJIRO
21,MANYARA,5,KITETO,WILAYA YA KITETO
