"reg","dis"
"ARUSHA","JIJI LA ARUSHA"
"ARUSHA","WILAYA YA ARUSHA"
"ARUSHA","WILAYA YA KARATU"
"ARUSHA","WILAYA YA LONGIDO"
"ARUSHA","WILAYA YA MERU"
"ARUSHA","WILAYA YA MONDULI"
"ARUSHA","WILAYA YA NGORONGORO"
"DAR-ES-SALAAM","MANISPAA YA ILALA"
"DAR-ES-SALAAM","MANISPAA YA KINONDONI"
"DAR-ES-SALAAM","MANISPAA YA TEMEKE"
"DODOMA","MANISPAA YA DODOMA"
"DODOMA","WILAYA YA BAHI"
"DODOMA","WILAYA YA CHAMWINO"
"DODOMA","WILAYA YA KONDOA"
"DODOMA","WILAYA YA KONGWA"
"DODOMA","WILAYA YA MPWAPWA"
"IRINGA","MANISPAA YA IRINGA"
"IRINGA","MJI WA NJOMBE"
"IRINGA","WILAYA YA IRINGA"
"IRINGA","WILAYA YA KILOLO"
"IRINGA","WILAYA YA LUDEWA"
"IRINGA","WILAYA YA MAKETE"
"IRINGA","WILAYA YA MUFINDI"
"IRINGA","WILAYA YA NJOMBE"
"KAGERA","MANISPAA YA BUKOBA"
"KAGERA","WILAYA YA BIHARAMULO"
"KAGERA","WILAYA YA BUKOBA"
"KAGERA","WILAYA YA CHATO"
"KAGERA","WILAYA YA KARAGWE"
"KAGERA","WILAYA YA MISSENYI"
"KAGERA","WILAYA YA MULEBA"
"KAGERA","WILAYA YA NGARA"
"KIGOMA","MANISPAA YA KIGOMA/UJIJI"
"KIGOMA","WILAYA YA KASULU"
"KIGOMA","WILAYA YA KIBONDO"
"KIGOMA","WILAYA YA KIGOMA"
"KILIMANJARO","MANISPAA YA MOSHI"
"KILIMANJARO","WILAYA YA HAI"
"KILIMANJARO","WILAYA YA MOSHI"
"KILIMANJARO","WILAYA YA MWANGA"
"KILIMANJARO","WILAYA YA ROMBO"
"KILIMANJARO","WILAYA YA SAME"
"KILIMANJARO","WILAYA YA SIHA"
"LINDI","MJI WA LINDI"
"LINDI","WILAYA YA KILWA"
"LINDI","WILAYA YA LINDI"
"LINDI","WILAYA YA LIWALE"
"LINDI","WILAYA YA NACHINGWEA"
"LINDI","WILAYA YA RUANGWA"
"MANYARA","MJI WA BABATI"
"MANYARA","WILAYA YA BABATI"
"MANYARA","WILAYA YA HANANG"
"MANYARA","WILAYA YA KITETO"
"MANYARA","WILAYA YA MBULU"
"MANYARA","WILAYA YA SIMANJIRO"
