id,reg,dis,con,ward
1,ARUSHA,ARUMERU,ARUMERU MASHARIKI,MAJIYA CHAI
2,ARUSHA,ARUMERU,ARUMERU MASHARIKI,KIKWE
3,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,KIRANYI
4,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,BANGATA
5,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,BWAWANI
6,ARUSHA,ARUMERU,ARUMERU MASHARIKI,USA RIVER
7,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,SOKONIII
8,ARUSHA,ARUMERU,ARUMERU MASHARIKI,MAKIBA
9,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,LANGARINI
10,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,OLDONYO SAMBU
11,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,MATEVES
12,ARUSHA,ARUSHA,ARUSHA  MJINI,TERRAT
13,ARUSHA,ARUSHA,ARUSHA  MJINI,DARAJA MBILI
14,ARUSHA,ARUSHA,ARUSHA  MJINI,SOMBETINI
15,ARUSHA,ARUSHA,ARUSHA  MJINI,LEVOLOSI
16,ARUSHA,ARUSHA,ARUSHA  MJINI,SOKONI
17,ARUSHA,ARUSHA,ARUSHA  MJINI,LEMARA
18,ARUSHA,ARUSHA,ARUSHA  MJINI,THEMI
19,ARUSHA,ARUSHA,ARUSHA  MJINI,NGARENARO
20,ARUSHA,ARUSHA,ARUSHA  MJINI,ENGUTOTO
21,ARUSHA,ARUSHA,ARUSHA  MJINI,KALOLENI
22,ARUSHA,ARUSHA,ARUSHA  MJINI,ELERAI
23,ARUSHA,KARATU,KARATU,RHOTIA
24,ARUSHA,KARATU,KARATU,GANAKO
25,ARUSHA,KARATU,KARATU,QURUS
26,ARUSHA,MONDULI,MONDULI,SELELA
27,ARUSHA,MONDULI,MONDULI,ENGARUKA
28,ARUSHA,MONDULI,MONDULI,ESILALEI
29,ARUSHA,MONDULI,MONDULI,MAKUYUNI
30,ARUSHA,NGORONGORO,NGORONGORO,DIGODIGO
31,ARUSHA,NGORONGORO,NGORONGORO,NGORONGORO
32,ARUSHA,NGORONGORO,NGORONGORO,ORGOSOROK
33,DAR-ES-SALAAM,ILALA,ILALA,LLALA
34,DAR-ES-SALAAM,ILALA,ILALA,UPANGA MAGHARIBI
35,DAR-ES-SALAAM,ILALA,ILALA,JANGWANI
36,DAR-ES-SALAAM,ILALA,UKONGA,UKONGA
37,DAR-ES-SALAAM,ILALA,UKONGA,PUGU
38,DAR-ES-SALAAM,ILALA,UKONGA,KITUNDA
39,DAR-ES-SALAAM,ILALA,UKONGA,KIPAWA
40,DAR-ES-SALAAM,ILALA,UKONGA,VINGUNGUTI
41,DAR-ES-SALAAM,ILALA,UKONGA,TABATA
42,DAR-ES-SALAAM,ILALA,UKONGA,SEGEREA
43,DAR-ES-SALAAM,ILALA,UKONGA,CHANIKA
44,DAR-ES-SALAAM,ILALA,UKONGA,KINYEREZI
45,DAR-ES-SALAAM,ILALA,UKONGA,MSONGOLA
46,DAR-ES-SALAAM,ILALA,UKONGA,BUGURUNI
47,DAR-ES-SALAAM,ILALA,ILALA,UPANGA MASHARIKI
48,DAR-ES-SALAAM,KINONDONI,KINONDONI,HANANASIF
49,DAR-ES-SALAAM,KINONDONI,KINONDONI,NDUGUMBI
50,DAR-ES-SALAAM,KINONDONI,KINONDONI,MAKUMBUSHO
51,DAR-ES-SALAAM,KINONDONI,KINONDONI,TANDALE
52,DAR-ES-SALAAM,KINONDONI,KINONDONI,MWANANYAMALA
53,DAR-ES-SALAAM,KINONDONI,KINONDONI,MAGOMENI
54,DAR-ES-SALAAM,KINONDONI,KINONDONI,KINONDONI
55,DAR-ES-SALAAM,KINONDONI,KINONDONI,MZIMUNI
