REGMAP,DISMAP,REGPOL,DISTPOL
Arusha,Arumeru,ARUSHA,WILAYA YA MERU
Arusha,Arusha,ARUSHA,WILAYA YA ARUSHA
Arusha,Karatu,ARUSHA,WILAYA YA KARATU
Arusha,Monduli,ARUSHA,WILAYA YA MONDULI
Arusha,Ngorongoro,ARUSHA,WILAYA YA NGORONGORO
Dar es salaam,Ilala,DAR-ES-SALAAM,MANISPAA YA ILALA
Dar es Salaam,Kinondoni,DAR-ES-SALAAM,MANISPAA YA KINONDONI
Dar es Salaam,Temeke,DAR-ES-SALAAM,MANISPAA YA TEMEKE
Dodoma,Dodoma Rural,DODOMA,WILAYA YA DODOMA
Dodoma,Dodoma Urban,DODOMA,MANISPAA YA DODOMA
Dodoma,Kondoa,DODOMA,WILAYA YA KONDOA
Dodoma,Kongwa,DODOMA,WILAYA YA KONGWA
Dodoma,Mpwapwa,DODOMA,WILAYA YA MPWAPWA
Iringa,Iringa Rural,IRINGA,WILAYA YA IRINGA
Iringa,Iringa Urban,IRINGA,MANISPAA YA IRINGA
Iringa,Kilolo,IRINGA,WILAYA YA KILOLO
Iringa,Ludewa,IRINGA,WILAYA YA LUDEWA
Iringa,Makete,IRINGA,WILAYA YA MAKETE
Iringa,Mufindi,IRINGA,WILAYA YA MUFINDI
Iringa,Njombe,IRINGA,WILAYA YA NJOMBE
Kagera,Biharamulo,KAGERA,WILAYA YA BIHARAMULO
Kagera,Bukoba Urban,KAGERA,MANISPAA YA BUKOBA
Kagera,Karagwe,KAGERA,WILAYA YA KARAGWE
Kagera,Muleba,KAGERA,WILAYA YA MULEBA
Kagera,Ngara,KAGERA,WILAYA YA NGARA
Kagera,Bukoba Rural,KAGERA,WILAYA YA BUKOBA
Kigoma,Kasulu,KIGOMA,WILAYA YA KASULU
Kigoma,Kibondo,KIGOMA,WILAYA YA KIBONDO
Kigoma,Kigoma Rural,KIGOMA,WILAYA YA KIGOMA
Kigoma,Kigoma Urban,KIGOMA,MANISPAA YA KIGOMA/UJIJI
Kilimanjaro,Hai,KILIMANJARO,WILAYA YA HAI
Kilimanjaro,Moshi Rural,KILIMANJARO,WILAYA YA MOSHI
Kilimanjaro,Moshi Urban,KILIMANJARO,MANISPAA YA MOSHI
Kilimanjaro,Mwanga,KILIMANJARO,WILAYA YA MWANGA
Kilimanjaro,Rombo,KILIMANJARO,WILAYA YA ROMBO
Kilimanjaro,Same,KILIMANJARO,WILAYA YA SAME
Lindi,Kilwa,LINDI,WILAYA YA KILWA
Lindi,Lindi Rural,LINDI,WILAYA YA LINDI
Lindi,Lindi Urban,LINDI,MJI WA LINDI
Lindi,Liwale,LINDI,WILAYA YA LIWALE
Lindi,Nachingwea,LINDI,WILAYA YA NACHINGWEA
Lindi,Ruangwa,LINDI,WILAYA YA RUANGWA
Manyara,Babati,MANYARA,WILAYA YA BABATI
Manyara,Hanang,MANYARA,WILAYA YA HANANG
Manyara,Kiteto,MANYARA,WILAYA YA KITETO
Manyara,Mbulu,MANYARA,WILAYA YA MBULU
Manyara,Simanjiro,MANYARA,WILAYA YA SIMANJIRO
Mara,Musoma Urban,MARA,MANISPAA YA MUSOMA
Mara,Tarime,MARA,WILAYA YA TARIME
Mara,Serengeti,MARA,WILAYA YA SERENGETI
Mara,Musoma Rural,MARA,WILAYA YA MUSOMA
Mara,Bunda,MARA,WILAYA YA BUNDA
Mbeya,Chunya,MBEYA,WILAYA YA CHUNYA
Mbeya,Ileje,MBEYA,WILAYA YA ILEJE
Mbeya,Kyela,MBEYA,WILAYA YA KYELA
Mbeya,Mbarali,MBEYA,WILAYA YA MBARALI
