"reg","dis","con","ccm_prez05","split_prez05"
"ARUSHA","JIJI LA ARUSHA","ARUSHA MJINI",1,57
"ARUSHA","MANISPAA YA ARUMERU","ARUMERU MAGHARIBI",1,79.2
"ARUSHA","MANISPAA YA ARUMERU","ARUMERU MASHARIKI",1,77.8
"ARUSHA","WILAYA YA KARATU","KARATU",1,19.4
"ARUSHA","WILAYA YA MONDULI","LONGIDO",1,89.2
"ARUSHA","WILAYA YA MONDULI","MONDULI",1,89.6
"DAR-ES-SALAAM","MANISPAA YA ILALA","ILALA",1,56.4
"DAR-ES-SALAAM","MANISPAA YA ILALA","UKONGA",1,49.9
"DAR-ES-SALAAM","MANISPAA YA KINONDONI","KAWE",1,68.1
"DAR-ES-SALAAM","MANISPAA YA KINONDONI","KINONDONI",1,45.4
"DAR-ES-SALAAM","MANISPAA YA KINONDONI","UBUNGO",1,56
"DAR-ES-SALAAM","MANISPAA YA TEMEKE","KIGAMBONI",1,34
"DAR-ES-SALAAM","MANISPAA YA TEMEKE","TEMEKE",1,36.5
"DODOMA","MANISPAA YA DODOMA","DODOMA MJINI",1,83.2
"DODOMA","WILAYA YA DODOMA","BAHI",1,89.9
"DODOMA","WILAYA YA DODOMA","CHILONWA",1,92.2
"DODOMA","WILAYA YA DODOMA","MTERA",1,88.5
"DODOMA","WILAYA YA KONDOA","KONDOA KASKAZINI",1,31.1
"DODOMA","WILAYA YA KONDOA","KONDOA KUSINI",1,62.8
"DODOMA","WILAYA YA KONGWA","KONGWA",1,90.5
"DODOMA","WILAYA YA MPWAPWA","KIBAKWE",1,88.3
"DODOMA","WILAYA YA MPWAPWA","MPWAPWA",1,92.1
"IRINGA","MANISPAA YA IRINGA","IRINGA MJINI",1,72.8
"IRINGA","WILAYA YA IRINGA","ISMANI",1,82.1
"IRINGA","WILAYA YA IRINGA","KALENGA",1,93.1
"IRINGA","WILAYA YA KILOLO","KILOLO",1,92.2
"IRINGA","WILAYA YA LUDEWA","LUDEWA",1,94.1
"IRINGA","WILAYA YA MAKETE","MAKETE",1,94.2
"IRINGA","WILAYA YA MUFINDI","MUFINDI KASKAZINI",1,94.2
"IRINGA","WILAYA YA MUFINDI","MUFINDI KUSINI",1,94
"IRINGA","WILAYA YA NJOMBE","NJOMBE KASKAZINI",1,89.6
"IRINGA","WILAYA YA NJOMBE","NJOMBE KUSINI",1,85.1
"IRINGA","WILAYA YA NJOMBE","NJOMBE MAGHARIBI",1,95.7
"KAGERA","MANISPAA YA BUKOBA","BUKOBA MJINI",1,39.2
"KAGERA","WILAYA YA BIHARAMULO","BIHARAMULO MAGHARIBI",1,84
"KAGERA","WILAYA YA BIHARAMULO","BIHARAMULO MASHARIKI",1,80.8
"KAGERA","WILAYA YA BUKOBA","BUKOBA VIJIJINI",1,70.4
"KAGERA","WILAYA YA BUKOBA","NKENGE",1,86.9
"KAGERA","WILAYA YA KARAGWE","KARAGWE",1,66.3
"KAGERA","WILAYA YA KARAGWE","KYERWA",1,59.6
"KAGERA","WILAYA YA MULEBA","MULEBA KASKAZINI",1,68.3
"KAGERA","WILAYA YA MULEBA","MULEBA KUSINI",1,82.5
"KAGERA","WILAYA YA NGARA","NGARA",1,89.9
"KIGOMA","MANISPAA YA KIGOMA/UJIJI","KIGOMA MJINI",1,50.7
"KIGOMA","WILAYA YA KASULU","KASULU MAGHARIBI",1,78.8
"KIGOMA","WILAYA YA KASULU","KASULU MASHARIKI",1,75.8
"KIGOMA","WILAYA YA KIBONDO","BUYUNGU",1,85.9
"KIGOMA","WILAYA YA KIBONDO","MUHAMBWE",1,80.2
"KIGOMA","WILAYA YA KIGOMA","KIGOMA KASKAZINI",1,54.3
"KIGOMA","WILAYA YA KIGOMA","KIGOMA KUSINI",1,58.4
"KILIMANJARO","MANISPAA YA MOSHI","MOSHI MJINI",1,24.7
"KILIMANJARO","WILAYA YA HAI","HAI",1,20.5
"KILIMANJARO","WILAYA YA HAI","SIHA",1,66.2
"KILIMANJARO","WILAYA YA MOSHI","MOSHI VIJIJINI",1,56.4
"KILIMANJARO","WILAYA YA MOSHI","VUNJO",1,38.7
"KILIMANJARO","WILAYA YA MWANGA","MWANGA",1,81.2
"KILIMANJARO","WILAYA YA ROMBO","ROMBO",1,57.8
"KILIMANJARO","WILAYA YA SAME","SAME MAGHARIBI",1,84.5
"KILIMANJARO","WILAYA YA SAME","SAME MASHARIKI",1,76.2
"LINDI","MJI WA LINDI","LINDI MJINI",1,44.2
"LINDI","WILAYA YA KILWA","KILWA KASKAZINI",1,32.3
