Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,JAKAYA MRISHO KIKWETE,CCM,M,75613,5918,75.6
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,FREEMAN AIKAELI MBOWE,CHADEMA,M,18547,5918,18.6
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,2667,5918,2.7
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,AUGUSTINE LYATONGA MREMA,TLP,M,2522,5918,2.5
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,193,5918,0.2
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,129,5918,0.1
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,110,5918,0.1
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,67,5918,0.1
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,DR EMMANUEL JOHN MAKAIDI,NLD,M,59,5918,0.1
2347,ARUSHA,263,JIJI LA ARUSHA,1,ARUSHA MJINI,PAUL HENRY KYARA,SAU,M,49,5918,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2347,ARUSHA,267,MANISPAA YA ARUMERU,2,ARUMERU MAGHARIBI,JAKAYA MRISHO KIKWETE,CCM,M,85094,4663,88.3
2347,ARUSHA,267,MANISPAA YA ARUMERU,2,ARUMERU MAGHARIBI,FREEMAN AIKAELI MBOWE,CHADEMA,M,8791,4663,9.1
2347,ARUSHA,267,MANISPAA YA ARUMERU,2,ARUMERU MAGHARIBI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,737,4663,0.8
